sent_idx,word_idx,word,word_id,truth
0,0,af:Sy,10490,O
0,1,af:ander,1657,O
0,2,af:seun,9672,O
0,3,"af:,",450,O
0,4,af:Swjatopolk,10489,B-PER
0,5,"af:,",450,O
0,6,af:was,11903,O
0,7,af:die,3304,O
0,8,af:resultaat,9125,O
0,9,af:van,11179,O
0,10,af:’n,12430,O
0,11,af:buite-egtelike,2689,O
0,12,af:verhouding,11322,O
0,13,af:.,465,O
1,0,af:AANSTUUR,1292,O
1,1,af:Eerste,3616,B-ORG
1,2,af:Meksikaanse,7128,I-ORG
1,3,af:Keiserryk,5976,I-ORG
2,0,af:',6,O
2,1,af:'',7,O
2,2,af:Sergio,9651,B-PER
2,3,af:Pérez,8912,I-PER
2,4,af:'',7,O
2,5,af:',6,O
3,0,af:gevind,4586,O
3,1,af:in,5461,O
3,2,af:die,3304,O
3,3,af:suide,10397,O
3,4,af:van,11179,O
3,5,af:Pole,8705,B-LOC
3,6,af:.,465,O
4,0,af:Quebecstad,8926,B-LOC
4,1,af:(,424,O
4,2,af:AF,1376,O
4,3,af:),425,O
5,0,af:Vermoor,11375,O
5,1,af:in,5461,O
5,2,af:’n,12430,O
5,3,af:boord,2530,O
5,4,af:naby,7535,O
5,5,af:Krasnodar-lughawe,6329,B-LOC
5,6,af:.,465,O
6,0,af:Higgerty,5175,O
6,1,af:van,11179,O
6,2,af:die,3304,O
6,3,af:Verenigde,11297,B-ORG
6,4,af:Party,8489,I-ORG
6,5,af:(,424,O
6,6,af:onbestrede,7992,O
6,7,af:),425,O
7,0,af:Woordvoerder,12182,O
7,1,af:van,11179,O
7,2,af:die,3304,O
7,3,af:Britse,2634,B-ORG
7,4,af:Statebond,10196,I-ORG
8,0,af:In,5461,O
8,1,af:Suid-Afrika,10374,B-LOC
8,2,af:kom,6181,O
8,3,af:dit,3366,O
8,4,af:voor,11661,O
8,5,af:vanaf,11180,O
8,6,af:Walvisbaai,11880,B-LOC
8,7,af:tot,10827,O
8,8,af:by,2748,O
8,9,af:Algoabaai,1569,B-LOC
